,date,close,open,high,low,volume
701,2021-08-25,314681.0,314813.0,316100.0,312425.0,624688.0
702,2021-08-26,312853.0,315130.0,315937.0,312104.0,727719.0
703,2021-08-27,313390.0,311629.0,314301.0,310697.0,520668.0
704,2021-08-30,314419.0,316087.0,316487.0,313277.0,602858.0
705,2021-08-31,319927.0,314449.0,319989.0,313030.0,661221.0
706,2021-09-01,320702.0,319567.0,321513.0,318580.0,746705.0
707,2021-09-02,317585.0,319803.0,320401.0,317178.0,757859.0
708,2021-09-03,320106.0,318971.0,320308.0,318164.0,641510.0
709,2021-09-06,320333.0,319630.0,320625.0,318679.0,726190.0
710,2021-09-07,318742.0,320007.0,320176.0,317681.0,760159.0
711,2021-09-08,316299.0,317874.0,318755.0,315707.0,859889.0
712,2021-09-09,311470.0,314664.0,315860.0,311149.0,927368.0
713,2021-09-10,312576.0,312109.0,313154.0,310338.0,723085.0
714,2021-09-13,312786.0,311735.0,313913.0,310901.0,732269.0
715,2021-09-14,314883.0,313732.0,316431.0,313732.0,713227.0
716,2021-09-15,315340.0,314721.0,316401.0,313880.0,616557.0
717,2021-09-16,313009.0,316538.0,316768.0,312665.0,612873.0
718,2021-09-17,314051.0,312775.0,314213.0,311251.0,589244.0
719,2021-09-23,312758.0,312364.0,313163.0,310798.0,623841.0
720,2021-09-24,312524.0,314073.0,314686.0,311940.0,753222.0
721,2021-09-27,313364.0,312170.0,314635.0,311926.0,883229.0
722,2021-09-28,309792.0,313340.0,313446.0,309572.0,894913.0
723,2021-09-29,306027.0,305550.0,306904.0,303060.0,821557.0
724,2021-09-30,306882.0,305487.0,307943.0,304643.0,885818.0
725,2021-10-01,301918.0,305621.0,306260.0,301501.0,855481.0
726,2021-10-05,296217.0,299817.0,299817.0,294059.0,840557.0
727,2021-10-06,290831.0,298606.0,299347.0,290830.0,901721.0
728,2021-10-07,295946.0,293687.0,296153.0,292760.0,595381.0
729,2021-10-08,295630.0,297782.0,297808.0,294901.0,668946.0
730,2021-10-12,291638.0,295022.0,295094.0,290151.0,660180.0
731,2021-10-13,294441.0,291334.0,295333.0,290947.0,752132.0
732,2021-10-14,298864.0,296887.0,298897.0,296233.0,617170.0
733,2021-10-15,301506.0,301262.0,302190.0,299933.0,857797.0
734,2021-10-18,300668.0,301748.0,302117.0,299044.0,926369.0
735,2021-10-19,302904.0,302223.0,303453.0,301419.0,845703.0
736,2021-10-20,301313.0,304313.0,304724.0,301297.0,680326.0
737,2021-10-21,300733.0,301228.0,302588.0,300274.0,887369.0
738,2021-10-22,300616.0,300536.0,301870.0,299626.0,695272.0
739,2021-10-25,302054.0,300110.0,302527.0,298329.0,791795.0
740,2021-10-26,304908.0,303982.0,305165.0,303053.0,564559.0
